,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121572,55.0,54.0,55.0,52.0,116600,MPOW,2020-07-01,,,,,
128993,54.0,51.0,55.0,51.0,535000,MPOW,2020-07-02,,,,,
102667,52.0,55.0,56.0,52.0,64100,MPOW,2020-07-03,,,,,
85360,55.0,54.0,55.0,53.0,28000,MPOW,2020-07-06,,,,,
34257,54.0,54.0,55.0,53.0,37200,MPOW,2020-07-07,,,,,
48268,54.0,54.0,54.0,53.0,41900,MPOW,2020-07-08,,,,,
114995,55.0,55.0,61.0,53.0,184000,MPOW,2020-07-09,,,,,
23553,55.0,56.0,58.0,54.0,52700,MPOW,2020-07-10,,,,,54.125
15317,56.0,56.0,59.0,55.0,68100,MPOW,2020-07-13,,,,,54.541666666666664
31795,54.0,55.0,55.0,54.0,23000,MPOW,2020-07-14,,,,54.4,54.64351851851852
90298,55.0,56.0,56.0,55.0,78600,MPOW,2020-07-15,,,,54.6,54.94495884773663
21908,56.0,55.0,56.0,54.0,34900,MPOW,2020-07-16,,,,55.0,54.95719021490627
105104,55.0,53.0,55.0,52.0,121700,MPOW,2020-07-17,,,,54.8,54.52225905603821
78772,54.0,53.0,55.0,53.0,38400,MPOW,2020-07-20,,,,54.7,54.183979265807494
103475,52.0,52.0,54.0,51.0,28500,MPOW,2020-07-21,,,,54.5,53.69865054007249
94418,51.0,52.0,53.0,51.0,11400,MPOW,2020-07-22,,,,54.3,53.321172642278604
8726,51.0,53.0,58.0,51.0,143800,MPOW,2020-07-23,,,,54.1,53.24980094399447
101853,53.0,54.0,58.0,51.0,146800,MPOW,2020-07-24,,,,53.9,53.41651184532903
55683,54.0,53.0,54.0,53.0,42200,MPOW,2020-07-27,,,,53.6,53.323953657478135
41674,52.0,51.0,54.0,51.0,99600,MPOW,2020-07-28,,,,53.2,52.807519511371886
111706,51.0,52.0,52.0,51.0,5300,MPOW,2020-07-29,,,,52.8,52.62807073106702
81226,52.0,51.0,52.0,51.0,170900,MPOW,2020-07-30,,,,52.4,52.26627723527435
118292,52.0,52.0,52.0,50.0,338900,MPOW,2020-08-03,,,,52.3,52.2071045163245
7089,53.0,52.0,53.0,51.0,29300,MPOW,2020-08-04,,,,52.2,52.16108129047461
54039,52.0,52.0,52.0,52.0,400,MPOW,2020-08-05,,,,52.2,52.12528544814692
70528,53.0,52.0,53.0,52.0,93900,MPOW,2020-08-06,,,,52.2,52.097444237447604
44145,53.0,56.0,58.0,53.0,272800,MPOW,2020-08-07,,,,52.5,52.96467885134814
99374,55.0,56.0,57.0,54.0,55400,MPOW,2020-08-10,,,,52.7,53.63919466215967
53223,56.0,55.0,56.0,55.0,66200,MPOW,2020-08-11,,,,52.9,53.94159584834641
120755,56.0,57.0,63.0,55.0,356000,MPOW,2020-08-12,,,53.7,53.5,54.62124121538054
63104,57.0,54.0,57.0,54.0,69900,MPOW,2020-08-13,,,53.7,53.7,54.48318761196264
87841,56.0,53.0,61.0,53.0,107400,MPOW,2020-08-14,,,53.766666666666666,53.9,54.15359036485983
61460,53.0,55.0,57.0,53.0,89600,MPOW,2020-08-18,,,53.766666666666666,54.2,54.341681394890976
89482,55.0,56.0,56.0,53.0,61600,MPOW,2020-08-19,,,53.833333333333336,54.6,54.71019664047076
10374,56.0,56.0,60.0,54.0,108300,MPOW,2020-08-24,,,53.9,55.0,54.996819609255034
129801,57.0,60.0,61.0,54.0,271000,MPOW,2020-08-25,,,54.1,55.8,56.10863747386502
104288,59.0,56.0,60.0,56.0,295300,MPOW,2020-08-26,,,54.13333333333333,55.8,56.08449581300613
3794,56.0,58.0,59.0,56.0,45600,MPOW,2020-08-27,,,54.2,56.0,56.51016341011588
79584,56.0,58.0,59.0,55.0,14500,MPOW,2020-08-28,,,54.266666666666666,56.3,56.8412382078679
27673,58.0,59.0,60.0,57.0,133500,MPOW,2020-08-31,,,54.4,56.5,57.320963050563925
35068,58.0,60.0,60.0,58.0,7100,MPOW,2020-09-01,,,54.53333333333333,57.1,57.91630459488305
39206,59.0,59.0,60.0,58.0,22000,MPOW,2020-09-02,,,54.666666666666664,57.7,58.15712579602015
68875,61.0,58.0,61.0,58.0,1900,MPOW,2020-09-03,,,54.833333333333336,58.0,58.12220895246012
12849,59.0,59.0,59.0,56.0,16700,MPOW,2020-09-04,,,55.03333333333333,58.3,58.31727362969121
26855,59.0,60.0,60.0,59.0,9700,MPOW,2020-09-07,,,55.3,58.7,58.69121282309316
108400,62.0,59.0,62.0,59.0,27600,MPOW,2020-09-08,,,55.53333333333333,58.6,58.75983219573912
122381,60.0,62.0,62.0,59.0,166800,MPOW,2020-09-09,,,55.833333333333336,59.2,59.47986948557487
7904,59.0,58.0,60.0,58.0,70100,MPOW,2020-09-10,,,55.96666666666667,59.2,59.151009599891566
17781,54.0,58.0,59.0,54.0,27700,MPOW,2020-09-11,,,56.13333333333333,59.2,58.89522968880455
44963,56.0,59.0,62.0,55.0,35600,MPOW,2020-09-14,,,56.4,59.2,58.918511980181314
66402,59.0,59.0,59.0,56.0,33600,MPOW,2020-09-15,,,56.63333333333333,59.1,58.93662042902991
1316,59.0,58.0,59.0,56.0,7100,MPOW,2020-09-16,,,56.86666666666667,59.0,58.72848255591215
56500,59.0,59.0,60.0,55.0,11800,MPOW,2020-09-17,,,57.1,59.1,58.78881976570945
62280,59.0,60.0,60.0,59.0,1200,MPOW,2020-09-18,,,57.36666666666667,59.2,59.057970928885126
72172,59.0,59.0,59.0,57.0,3900,MPOW,2020-09-21,,,57.6,59.1,59.045088500243985
100194,59.0,56.0,61.0,56.0,8100,MPOW,2020-09-22,,,57.733333333333334,58.8,58.368402166856434
77125,58.0,56.0,59.0,56.0,4900,MPOW,2020-09-23,,,57.733333333333334,58.2,57.84209057422167
65575,56.0,57.0,58.0,55.0,11500,MPOW,2020-09-24,,,57.766666666666666,58.1,57.654959335505744
96896,55.0,57.0,58.0,55.0,67400,MPOW,2020-09-25,,,57.833333333333336,58.0,57.509412816504465
59812,55.0,57.0,57.0,54.0,21400,MPOW,2020-09-28,,,57.833333333333336,57.8,57.39620996839236
16132,57.0,58.0,60.0,56.0,40800,MPOW,2020-09-29,,,57.96666666666667,57.7,57.530385530971834
