,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121839,1010.0,1010.0,1010.0,1010.0,400,XAFA,2020-07-01,,,,,
129260,1010.0,1010.0,1010.0,1010.0,0,XAFA,2020-07-02,,,,,
102934,1010.0,1010.0,1010.0,1010.0,0,XAFA,2020-07-03,,,,,
85628,1003.0,1003.0,1003.0,1003.0,100,XAFA,2020-07-06,,,,,
34528,1005.0,1004.0,1005.0,1004.0,200,XAFA,2020-07-07,,,,,
48539,1007.0,1007.0,1007.0,1007.0,100,XAFA,2020-07-08,,,,,
115266,1009.0,1009.0,1009.0,1009.0,100,XAFA,2020-07-09,,,,,
23823,1009.0,1009.0,1009.0,1009.0,0,XAFA,2020-07-10,,,,,1007.75
15587,1009.0,1012.0,1012.0,1009.0,500,XAFA,2020-07-13,,,,,1008.6944444444445
32065,1012.0,1012.0,1012.0,1012.0,0,XAFA,2020-07-14,,,,1008.6,1009.429012345679
90568,1012.0,1012.0,1012.0,1012.0,0,XAFA,2020-07-15,,,,1008.8,1010.0003429355281
22178,1016.0,1016.0,1016.0,1016.0,100,XAFA,2020-07-16,,,,1009.4,1011.3336000609663
105374,1016.0,1016.0,1016.0,1016.0,0,XAFA,2020-07-17,,,,1010.0,1012.370577825196
79044,1016.0,1016.0,1016.0,1016.0,0,XAFA,2020-07-20,,,,1011.3,1013.1771160862636
103747,1016.0,1016.0,1016.0,1016.0,0,XAFA,2020-07-21,,,,1012.5,1013.8044236226494
94690,1019.0,1019.0,1019.0,1019.0,100,XAFA,2020-07-22,,,,1013.7,1014.9589961509496
8998,1028.0,1028.0,1028.0,1028.0,100,XAFA,2020-07-23,,,,1015.6,1017.8569970062941
102125,1030.0,1030.0,1030.0,1030.0,10000,XAFA,2020-07-24,,,,1017.7,1020.5554421160066
55955,1030.0,1030.0,1030.0,1030.0,200,XAFA,2020-07-27,,,,1019.5,1022.654232756894
41946,1030.0,1030.0,1030.0,1030.0,0,XAFA,2020-07-28,,,,1021.3,1024.2866254775843
111978,1030.0,1030.0,1030.0,1030.0,100,XAFA,2020-07-29,,,,1023.1,1025.5562642603434
81498,1030.0,1030.0,1030.0,1030.0,4700,XAFA,2020-07-30,,,,1024.5,1026.5437610913782
118564,1032.0,1032.0,1032.0,1032.0,700,XAFA,2020-08-03,,,,1026.1,1027.7562586266274
7361,1032.0,1032.0,1032.0,1032.0,0,XAFA,2020-08-04,,,,1027.7,1028.6993122651547
54311,1035.0,1035.0,1035.0,1035.0,100,XAFA,2020-08-05,,,,1029.6,1030.0994650951204
70802,1037.0,1037.0,1037.0,1037.0,100,XAFA,2020-08-06,,,,1031.4,1031.6329172962048
44418,1037.0,1037.0,1037.0,1037.0,0,XAFA,2020-08-07,,,,1032.3,1032.8256023414926
99649,1037.0,1037.0,1037.0,1037.0,0,XAFA,2020-08-10,,,,1033.0,1033.7532462656054
53498,1038.0,1038.0,1038.0,1038.0,100,XAFA,2020-08-11,,,,1033.8,1034.6969693176932
121030,1038.0,1038.0,1038.0,1038.0,0,XAFA,2020-08-12,,,1021.5,1034.6,1035.4309761359837
63379,1038.0,1038.0,1038.0,1038.0,0,XAFA,2020-08-13,,,1022.4333333333333,1035.4,1036.0018703279873
88116,1038.0,1038.0,1038.0,1038.0,0,XAFA,2020-08-14,,,1023.3666666666667,1036.2,1036.4458991439901
61735,1044.0,1044.0,1044.0,1044.0,100,XAFA,2020-08-18,,,1024.5,1037.4,1038.1245882231035
89757,1050.0,1050.0,1050.0,1050.0,200,XAFA,2020-08-19,,,1026.0666666666666,1039.2,1040.7635686179694
10649,1049.0,1049.0,1049.0,1049.0,100,XAFA,2020-08-24,,,1027.5666666666666,1040.6,1042.5938867028651
130076,1049.0,1049.0,1049.0,1049.0,0,XAFA,2020-08-25,,,1028.9666666666667,1041.8,1044.0174674355617
