,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120502,9.0,9.0,10.0,9.0,3413400,ESIP-W,2020-07-01,,,,,
127923,9.0,10.0,11.0,8.0,13293100,ESIP-W,2020-07-02,,,,,
101597,10.0,9.0,11.0,9.0,14288400,ESIP-W,2020-07-03,,,,,
84290,10.0,9.0,10.0,9.0,2853700,ESIP-W,2020-07-06,,,,,
34021,9.0,9.0,10.0,8.0,6512000,ESIP-W,2020-07-07,,,,,
47198,9.0,10.0,12.0,8.0,21817800,ESIP-W,2020-07-08,,,,,
113925,11.0,12.0,13.0,9.0,40244400,ESIP-W,2020-07-09,,,,,
23317,12.0,11.0,12.0,10.0,17854700,ESIP-W,2020-07-10,,,,,9.875
15081,11.0,11.0,12.0,10.0,6078700,ESIP-W,2020-07-13,,,,,10.125
31559,11.0,11.0,11.0,10.0,1305500,ESIP-W,2020-07-14,,,,10.1,10.319444444444445
89228,11.0,10.0,12.0,10.0,5718700,ESIP-W,2020-07-15,,,,10.2,10.248456790123457
21672,11.0,11.0,13.0,10.0,34487300,ESIP-W,2020-07-16,,,,10.3,10.415466392318244
104034,10.0,12.0,13.0,10.0,11321700,ESIP-W,2020-07-17,,,,10.6,10.767584971803078
77702,12.0,11.0,13.0,11.0,10086200,ESIP-W,2020-07-20,,,,10.8,10.819232755846839
102405,12.0,11.0,12.0,11.0,12343200,ESIP-W,2020-07-21,,,,11.0,10.85940325454754
93348,11.0,12.0,12.0,10.0,3280500,ESIP-W,2020-07-22,,,,11.2,11.112869197981421
8490,12.0,11.0,12.0,10.0,1922200,ESIP-W,2020-07-23,,,,11.1,11.08778715398555
100783,11.0,10.0,11.0,10.0,795900,ESIP-W,2020-07-24,,,,11.0,10.846056675322094
54613,11.0,10.0,13.0,10.0,27897900,ESIP-W,2020-07-27,,,,10.9,10.658044080806073
41438,10.0,10.0,11.0,10.0,2195100,ESIP-W,2020-07-28,,,,10.8,10.511812062849168
110636,10.0,11.0,11.0,10.0,3171900,ESIP-W,2020-07-29,,,,10.9,10.62029827110491
80156,11.0,14.0,19.0,11.0,58528900,ESIP-W,2020-07-30,,,,11.2,11.371343099748263
117222,15.0,15.0,15.0,11.0,22104100,ESIP-W,2020-08-03,,,,11.5,12.177711299804205
6853,15.0,17.0,18.0,14.0,13434400,ESIP-W,2020-08-04,,,,12.1,13.249331010958826
52969,17.0,15.0,18.0,14.0,34654500,ESIP-W,2020-08-05,,,,12.5,13.638368564079087
69458,15.0,14.0,16.0,14.0,8475400,ESIP-W,2020-08-06,,,,12.7,13.718731105394845
43075,14.0,15.0,15.0,14.0,4715200,ESIP-W,2020-08-07,,,,13.1,14.003457526418213
98304,14.0,14.0,15.0,13.0,2647500,ESIP-W,2020-08-10,,,,13.5,14.002689187214166
52153,13.0,14.0,17.0,12.0,24084600,ESIP-W,2020-08-11,,,,13.9,14.002091590055462
119685,15.0,13.0,15.0,13.0,2829000,ESIP-W,2020-08-12,,,11.7,14.2,13.779404570043138
62034,14.0,13.0,14.0,13.0,1837500,ESIP-W,2020-08-13,,,11.833333333333334,14.4,13.606203554477997
86771,13.0,14.0,15.0,13.0,6528400,ESIP-W,2020-08-14,,,11.966666666666667,14.4,13.69371387570511
60390,14.0,13.0,15.0,13.0,4331600,ESIP-W,2020-08-18,,,12.1,14.2,13.53955523665953
88412,13.0,14.0,15.0,13.0,3231400,ESIP-W,2020-08-19,,,12.266666666666667,13.9,13.641876295179634
10138,14.0,13.0,14.0,13.0,3370100,ESIP-W,2020-08-24,,,12.4,13.7,13.499237118473049
128731,13.0,13.0,14.0,13.0,3053900,ESIP-W,2020-08-25,,,12.5,13.6,13.38829553659015
103218,13.0,13.0,13.0,12.0,5996900,ESIP-W,2020-08-26,,,12.533333333333333,13.4,13.302007639570116
3558,12.0,12.0,13.0,11.0,3115200,ESIP-W,2020-08-27,,,12.566666666666666,13.2,13.012672608554535
78514,12.0,13.0,13.0,11.0,1431600,ESIP-W,2020-08-28,,,12.633333333333333,13.1,13.009856473320195
27437,13.0,13.0,14.0,12.0,2585400,ESIP-W,2020-08-31,,,12.7,13.1,13.007666145915707
34832,12.0,12.0,13.0,10.0,15766800,ESIP-W,2020-09-01,,,12.766666666666667,13.0,12.783740335712217
38970,13.0,12.0,13.0,11.0,2229300,ESIP-W,2020-09-02,,,12.8,12.8,12.609575816665057
67805,13.0,13.0,13.0,12.0,548900,ESIP-W,2020-09-03,,,12.833333333333334,12.8,12.696336746295044
12613,12.0,12.0,13.0,11.0,1701600,ESIP-W,2020-09-04,,,12.866666666666667,12.6,12.541595247118368
26618,12.0,12.0,13.0,11.0,2195700,ESIP-W,2020-09-07,,,12.9,12.5,12.42124074775873
107329,12.0,11.0,13.0,11.0,3079900,ESIP-W,2020-09-08,,,12.866666666666667,12.3,12.105409470479012
121310,12.0,12.0,12.0,11.0,2632100,ESIP-W,2020-09-09,,,12.9,12.2,12.081985143705898
7666,11.0,10.0,11.0,9.0,3928500,ESIP-W,2020-09-10,,,12.9,12.0,11.619321778437921
17543,9.0,12.0,12.0,9.0,8554600,ESIP-W,2020-09-11,,,12.966666666666667,11.9,11.70391693878505
43891,12.0,13.0,14.0,12.0,4271900,ESIP-W,2020-09-14,,,13.066666666666666,11.9,11.991935396832815
65330,13.0,14.0,14.0,12.0,3370500,ESIP-W,2020-09-15,,,13.166666666666666,12.1,12.438171975314411
1078,14.0,15.0,16.0,13.0,18103800,ESIP-W,2020-09-16,,,13.2,12.4,13.00746709191121
55428,15.0,14.0,15.0,13.0,1539700,ESIP-W,2020-09-17,,,13.166666666666666,12.5,13.228029960375386
61208,13.0,13.0,14.0,12.0,4749000,ESIP-W,2020-09-18,,,13.033333333333333,12.6,13.177356635847522
71100,13.0,12.0,15.0,12.0,5141900,ESIP-W,2020-09-21,,,12.933333333333334,12.6,12.915721827881406
99122,13.0,13.0,14.0,12.0,2040000,ESIP-W,2020-09-22,,,12.9,12.8,12.934450310574427
76053,13.0,13.0,15.0,12.0,12290200,ESIP-W,2020-09-23,,,12.833333333333334,12.9,12.949016908224554
64503,12.0,12.0,13.0,11.0,4757900,ESIP-W,2020-09-24,,,12.766666666666667,13.1,12.73812426195243
95824,12.0,11.0,12.0,11.0,3614000,ESIP-W,2020-09-25,,,12.666666666666666,13.0,12.351874425963002
58740,11.0,12.0,12.0,10.0,898400,ESIP-W,2020-09-28,,,12.633333333333333,12.9,12.273680109082335
15894,12.0,12.0,12.0,11.0,1556100,ESIP-W,2020-09-29,,,12.6,12.7,12.212862307064038
83465,11.0,11.0,12.0,11.0,1817900,ESIP-W,2020-09-30,,,12.5,12.3,11.943337349938696
90865,11.0,12.0,13.0,10.0,5193000,ESIP-W,2020-10-01,,,12.466666666666667,12.1,11.955929049952319
66983,13.0,12.0,13.0,11.0,11706400,ESIP-W,2020-10-02,,,12.4,12.0,11.965722594407358
11791,13.0,12.0,13.0,12.0,4775400,ESIP-W,2020-10-05,,,12.366666666666667,12.0,11.973339795650167
118862,12.0,11.0,12.0,11.0,1232200,ESIP-W,2020-10-06,,,12.3,11.8,11.757042063283464
20849,11.0,11.0,12.0,10.0,2194300,ESIP-W,2020-10-07,,,12.233333333333333,11.6,11.588810493664916
19193,11.0,11.0,12.0,10.0,2552300,ESIP-W,2020-10-08,,,12.2,11.5,11.457963717294934
108988,11.0,12.0,13.0,11.0,7133200,ESIP-W,2020-10-09,,,12.166666666666666,11.6,11.578416224562726
28257,12.0,12.0,13.0,11.0,2926900,ESIP-W,2020-10-12,,,12.133333333333333,11.6,11.672101507993231
75228,13.0,11.0,13.0,11.0,3227500,ESIP-W,2020-10-13,,,12.1,11.5,11.522745617328068
105677,11.0,11.0,11.0,11.0,1428500,ESIP-W,2020-10-14,,,12.066666666666666,11.5,11.406579924588497
14258,10.0,11.0,11.0,10.0,1592400,ESIP-W,2020-10-15,,,12.0,11.4,11.316228830235497
5206,11.0,11.0,12.0,10.0,3008800,ESIP-W,2020-10-16,,,11.966666666666667,11.3,11.245955756849831
253,12.0,10.0,12.0,10.0,2402900,ESIP-W,2020-10-19,,,11.9,11.1,10.96907669977209
123793,11.0,11.0,12.0,10.0,985100,ESIP-W,2020-10-20,,,11.9,11.1,10.975948544267181
73578,11.0,11.0,12.0,10.0,844500,ESIP-W,2020-10-21,,,11.866666666666667,11.1,10.981293312207807
29912,12.0,11.0,12.0,10.0,2504400,ESIP-W,2020-10-22,,,11.9,11.1,10.985450353939406
32372,11.0,11.0,11.0,10.0,1681400,ESIP-W,2020-10-23,,,11.866666666666667,11.0,10.988683608619539
56256,10.0,11.0,11.0,10.0,88700,ESIP-W,2020-10-26,,,11.8,10.9,10.991198362259642
51330,11.0,10.0,11.0,10.0,348900,ESIP-W,2020-10-27,,,11.666666666666666,10.8,10.770932059535276
87589,10.0,10.0,11.0,10.0,8636000,ESIP-W,2020-11-02,,,11.5,10.7,10.599613824082994
82640,10.0,11.0,11.0,9.0,789200,ESIP-W,2020-11-03,,,11.4,10.7,10.688588529842328
6030,10.0,10.0,11.0,9.0,1550000,ESIP-W,2020-11-04,,,11.3,10.6,10.535568856544032
18368,10.0,10.0,10.0,9.0,1229100,ESIP-W,2020-11-05,,,11.233333333333333,10.6,10.416553555089802
42252,10.0,10.0,10.0,10.0,192500,ESIP-W,2020-11-06,,,11.133333333333333,10.5,10.323986098403179
90040,10.0,10.0,11.0,10.0,115200,ESIP-W,2020-11-09,,,11.033333333333333,10.4,10.251989187646917
1905,9.0,9.0,10.0,9.0,1556100,ESIP-W,2020-11-10,,,10.933333333333334,10.2,9.973769368169824
24129,9.0,8.0,9.0,7.0,3483200,ESIP-W,2020-11-11,,,10.833333333333334,9.9,9.535153953020975
76879,8.0,7.0,8.0,6.0,9179700,ESIP-W,2020-11-12,,,10.666666666666666,9.5,8.971786407905203
74403,7.0,8.0,8.0,7.0,3836800,ESIP-W,2020-11-13,,,10.533333333333333,9.3,8.755833872815158
72753,8.0,8.0,9.0,7.0,2905900,ESIP-W,2020-11-16,,,10.433333333333334,9.1,8.587870789967345
39790,8.0,7.0,9.0,6.0,5666800,ESIP-W,2020-11-17,,,10.266666666666667,8.7,8.235010614419046
16720,7.0,7.0,8.0,7.0,722000,ESIP-W,2020-11-18,,,10.1,8.4,7.960563811214814
66158,7.0,8.0,8.0,7.0,1376100,ESIP-W,2020-11-19,,,9.966666666666667,8.2,7.969327408722633
79333,8.0,7.0,8.0,7.0,916900,ESIP-W,2020-11-20,,,9.833333333333334,7.9,7.753921317895381
70275,7.0,7.0,8.0,7.0,558300,ESIP-W,2020-11-23,,,9.7,7.6,7.5863832472519634
111451,8.0,7.0,8.0,7.0,460600,ESIP-W,2020-11-24,,,9.566666666666666,7.4,7.456075858973749
118037,7.0,7.0,8.0,7.0,739000,ESIP-W,2020-11-25,,,9.4,7.3,7.354725668090694
57915,7.0,8.0,8.0,7.0,456600,ESIP-W,2020-11-26,11.24,,9.266666666666667,7.4,7.49811996407054
13433,8.0,8.0,8.0,7.0,880800,ESIP-W,2020-11-27,11.23,,9.166666666666666,7.4,7.609648860943754
116399,8.0,7.0,8.0,7.0,579700,ESIP-W,2020-11-30,11.2,,9.033333333333333,7.3,7.4741713362895865
113102,8.0,7.0,8.0,7.0,1338500,ESIP-W,2020-12-01,11.18,,8.9,7.3,7.368799928225234
115574,7.0,7.0,7.0,6.0,1106900,ESIP-W,2020-12-02,11.16,,8.766666666666667,7.3,7.286844388619627
38148,7.0,7.0,7.0,6.0,975300,ESIP-W,2020-12-03,11.14,,8.666666666666666,7.2,7.223101191148598
30737,6.0,6.0,7.0,6.0,797800,ESIP-W,2020-12-04,11.1,,8.5,7.1,6.951300926448909
45547,7.0,9.0,9.0,7.0,4117700,ESIP-W,2020-12-07,11.07,,8.433333333333334,7.3,7.406567387238041
