,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123983,149.0,144.0,149.0,136.0,2682100,KIJA,2020-07-01,,,,,
131404,144.0,143.0,145.0,140.0,875600,KIJA,2020-07-02,,,,,
105078,144.0,144.0,146.0,141.0,3569400,KIJA,2020-07-03,,,,,
86937,144.0,144.0,144.0,140.0,596500,KIJA,2020-07-06,,,,,
34166,143.0,142.0,144.0,141.0,278800,KIJA,2020-07-07,,,,,
49011,142.0,141.0,143.0,140.0,669900,KIJA,2020-07-08,,,,,
117406,142.0,141.0,143.0,141.0,3607700,KIJA,2020-07-09,,,,,
23462,141.0,145.0,148.0,140.0,3752300,KIJA,2020-07-10,,,,,143.0
15226,150.0,146.0,150.0,143.0,4176700,KIJA,2020-07-13,,,,,143.66666666666666
31704,147.0,146.0,147.0,143.0,240100,KIJA,2020-07-14,,,,143.6,144.1851851851852
92709,147.0,146.0,148.0,144.0,969100,KIJA,2020-07-15,,,,143.8,144.58847736625515
21817,146.0,144.0,149.0,143.0,544900,KIJA,2020-07-16,,,,143.9,144.45770461819845
107515,144.0,143.0,144.0,142.0,333300,KIJA,2020-07-17,,,,143.8,144.1337702585988
80349,143.0,144.0,145.0,141.0,1274300,KIJA,2020-07-20,,,,143.8,144.10404353446572
105886,145.0,144.0,145.0,142.0,808600,KIJA,2020-07-21,,,,144.0,144.0809227490289
96829,145.0,146.0,148.0,144.0,933600,KIJA,2020-07-22,,,,144.5,144.50738436035581
8635,146.0,142.0,146.0,142.0,2234200,KIJA,2020-07-23,,,,144.6,143.9501878358323
104264,145.0,141.0,145.0,141.0,289900,KIJA,2020-07-24,,,,144.2,143.29459053898069
57260,142.0,141.0,142.0,140.0,994200,KIJA,2020-07-27,,,,143.7,142.78468153031832
41583,141.0,141.0,142.0,140.0,371100,KIJA,2020-07-28,,,,143.2,142.38808563469203
114117,141.0,141.0,141.0,138.0,456700,KIJA,2020-07-29,,,,142.7,142.07962216031603
82803,140.0,159.0,159.0,138.0,1150700,KIJA,2020-07-30,,,,144.2,145.83970612469025
120703,149.0,148.0,154.0,148.0,577800,KIJA,2020-08-03,,,,144.7,146.31977143031463
6998,145.0,140.0,149.0,140.0,772100,KIJA,2020-08-04,,,,144.3,144.9153777791336
55616,142.0,143.0,145.0,140.0,865700,KIJA,2020-08-05,,,,144.2,144.48973827265945
72105,143.0,142.0,143.0,141.0,212700,KIJA,2020-08-06,,,,143.8,143.93646310095735
44054,144.0,143.0,145.0,142.0,5758100,KIJA,2020-08-07,,,,143.9,143.7283601896335
101785,144.0,145.0,147.0,141.0,561600,KIJA,2020-08-10,,,,144.3,144.01094681415938
54800,146.0,144.0,147.0,142.0,5297000,KIJA,2020-08-11,,,,144.6,144.00851418879063
123166,144.0,142.0,144.0,142.0,1859400,KIJA,2020-08-12,,,143.83333333333334,144.7,143.56217770239272
64681,143.0,144.0,144.0,142.0,351000,KIJA,2020-08-13,,,143.83333333333334,145.0,143.65947154630544
90252,144.0,142.0,144.0,142.0,314800,KIJA,2020-08-14,,,143.8,143.3,143.2907000915709
63037,142.0,141.0,143.0,141.0,354800,KIJA,2020-08-18,,,143.7,142.6,142.78165562677736
91893,142.0,141.0,143.0,141.0,404100,KIJA,2020-08-19,,,143.6,142.7,142.38573215416017
10283,142.0,143.0,143.0,140.0,760200,KIJA,2020-08-24,,,143.63333333333333,142.7,142.52223611990235
132212,142.0,144.0,146.0,139.0,2118800,KIJA,2020-08-25,,,143.73333333333332,142.9,142.85062809325737
106699,144.0,143.0,147.0,141.0,1046000,KIJA,2020-08-26,,,143.8,142.9,142.88382185031128
3703,143.0,149.0,152.0,141.0,7759600,KIJA,2020-08-27,,,143.93333333333334,143.3,144.24297255024211
81161,150.0,143.0,151.0,143.0,2359600,KIJA,2020-08-28,,,143.83333333333334,143.2,143.9667564279661
27582,145.0,144.0,146.0,141.0,1191800,KIJA,2020-08-31,,,143.76666666666668,143.4,143.97414388841807
34977,142.0,143.0,144.0,141.0,1050000,KIJA,2020-09-01,,,143.66666666666666,143.3,143.7576674687696
39115,143.0,144.0,146.0,143.0,2030100,KIJA,2020-09-02,,,143.66666666666666,143.5,143.81151914237634
70452,145.0,143.0,145.0,142.0,848200,KIJA,2020-09-03,,,143.66666666666666,143.7,143.6311815551816
12758,143.0,148.0,161.0,142.0,22438300,KIJA,2020-09-04,,,143.8,144.4,144.6020300984746
26763,150.0,143.0,150.0,143.0,2867700,KIJA,2020-09-07,,,143.76666666666668,144.4,144.24602340992467
110810,144.0,148.0,148.0,140.0,2886800,KIJA,2020-09-08,,,143.83333333333334,144.8,145.08024042994143
124791,148.0,144.0,149.0,144.0,2895200,KIJA,2020-09-09,,,143.9,144.9,144.84018700106554
7812,142.0,137.0,142.0,134.0,5698300,KIJA,2020-09-10,,,143.76666666666668,143.7,143.09792322305097
17689,137.0,140.0,144.0,129.0,3060800,KIJA,2020-09-11,,,143.73333333333332,143.4,142.40949584015075
44871,141.0,144.0,146.0,141.0,720100,KIJA,2020-09-14,,,143.83333333333334,143.4,142.76294120900613
67978,145.0,144.0,145.0,143.0,3071100,KIJA,2020-09-15,,,143.93333333333334,143.5,143.03784316256034
1224,145.0,145.0,151.0,142.0,5155200,KIJA,2020-09-16,,,143.46666666666667,143.6,143.47387801532471
58076,146.0,165.0,166.0,146.0,22721400,KIJA,2020-09-17,,,144.03333333333333,145.8,148.2574606785859
63856,170.0,183.0,204.0,167.0,45466800,KIJA,2020-09-18,,,145.46666666666667,149.3,155.97802497223347
73748,173.0,171.0,195.0,171.0,15369200,KIJA,2020-09-21,,,146.4,152.1,159.31624164507048
102604,161.0,162.0,171.0,160.0,12771000,KIJA,2020-09-22,,,147.06666666666666,153.5,159.91263239061038
78701,155.0,162.0,171.0,154.0,11926800,KIJA,2020-09-23,,,147.7,155.3,160.37649185936363
67151,162.0,159.0,165.0,156.0,3863000,KIJA,2020-09-24,,,148.16666666666666,157.5,160.07060477950503
99306,159.0,166.0,171.0,158.0,11002700,KIJA,2020-09-25,,,148.9,160.1,161.38824816183725
61388,167.0,190.0,197.0,167.0,72983600,KIJA,2020-09-28,,,150.5,164.7,167.74641523698452
16040,180.0,186.0,204.0,179.0,76853000,KIJA,2020-09-29,,,151.9,168.9,171.80276740654352
86113,185.0,185.0,189.0,176.0,14691300,KIJA,2020-09-30,,,153.33333333333334,172.9,174.73548576064496
94347,188.0,190.0,197.0,187.0,14448300,KIJA,2020-10-01,,,154.96666666666667,175.4,178.1276000360572
69631,190.0,190.0,197.0,183.0,19325000,KIJA,2020-10-02,,,156.6,176.1,180.7659111391556
11937,180.0,214.0,218.0,180.0,109213400,KIJA,2020-10-05,,,158.96666666666667,180.4,188.15126421934326
122344,220.0,208.0,230.0,208.0,101405000,KIJA,2020-10-06,,,161.1,185.0,192.56209439282253
20995,212.0,206.0,212.0,200.0,28223600,KIJA,2020-10-07,,,163.2,189.4,195.54829563886196
19339,204.0,216.0,218.0,202.0,58009100,KIJA,2020-10-08,,,165.43333333333334,195.1,200.09311883022596
112470,218.0,206.0,218.0,206.0,41279800,KIJA,2020-10-09,,,167.53333333333333,199.1,201.40575909017574
28403,206.0,206.0,208.0,202.0,10521000,KIJA,2020-10-12,,,169.6,200.7,202.42670151458114
77876,206.0,206.0,208.0,199.0,27732900,KIJA,2020-10-13,,,171.7,202.7,203.2207678446742
109159,206.0,204.0,208.0,202.0,24239200,KIJA,2020-10-14,,,173.7,204.6,203.39393054585773
14404,206.0,204.0,214.0,200.0,55025400,KIJA,2020-10-15,,,175.73333333333332,206.0,203.52861264677824
5352,204.0,204.0,208.0,202.0,12799700,KIJA,2020-10-16,,,177.6,207.4,203.63336539193864
399,202.0,208.0,216.0,202.0,92775900,KIJA,2020-10-19,,,179.76666666666668,206.8,204.6037286381745
127275,210.0,206.0,214.0,204.0,32736000,KIJA,2020-10-20,,,181.7,206.6,204.9140111630246
76226,204.0,212.0,214.0,202.0,43002400,KIJA,2020-10-21,,,183.96666666666667,207.2,206.48867534901913
30058,210.0,206.0,214.0,206.0,56937300,KIJA,2020-10-22,,,186.26666666666668,206.2,206.3800808270149
32518,208.0,206.0,210.0,204.0,15420600,KIJA,2020-10-23,,,188.46666666666667,206.2,206.2956184210116
58904,210.0,208.0,212.0,206.0,18967800,KIJA,2020-10-26,,,190.6,206.4,206.674369883009
53978,208.0,208.0,210.0,204.0,17374200,KIJA,2020-10-27,,,192.73333333333332,206.6,206.96895435345144
91071,206.0,199.0,208.0,195.0,30725100,KIJA,2020-11-02,,,194.53333333333333,206.1,205.19807560824
85288,202.0,199.0,204.0,198.0,15291000,KIJA,2020-11-03,,,195.66666666666666,205.6,203.82072547307556
6176,204.0,193.0,204.0,192.0,35112600,KIJA,2020-11-04,,,196.0,204.5,201.4161198123921
18514,195.0,195.0,197.0,191.0,13479000,KIJA,2020-11-05,,,196.8,203.2,199.9903154096383
42398,197.0,199.0,204.0,195.0,25673600,KIJA,2020-11-06,,,198.03333333333333,202.5,199.77024531860758
