,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
96347,136.0,136.0,136.0,136.0,5000,UFOE,2021-02-01,,,,,
26280,183.0,183.0,183.0,183.0,5000,UFOE,2021-02-02,,,,,
9800,246.0,246.0,246.0,246.0,6100,UFOE,2021-02-03,,,,,
118570,306.0,306.0,306.0,306.0,10500,UFOE,2021-02-04,,,,,
11451,382.0,382.0,382.0,382.0,20100,UFOE,2021-02-05,,,,,
37808,470.0,476.0,476.0,470.0,3351200,UFOE,2021-02-08,,,,,
88935,595.0,545.0,595.0,490.0,27488400,UFOE,2021-02-09,,,,,
88099,545.0,550.0,615.0,510.0,20656000,UFOE,2021-02-10,,,,,353.0
84802,570.0,515.0,575.0,515.0,1822200,UFOE,2021-02-11,,,,,389.0
111984,480.0,480.0,500.0,480.0,350100,UFOE,2021-02-15,,,,381.9,409.22222222222223
103781,448.0,498.0,510.0,448.0,24390900,UFOE,2021-02-16,,,,418.1,428.95061728395063
97994,505.0,530.0,535.0,468.0,4865800,UFOE,2021-02-17,,,,452.8,451.40603566529495
71622,535.0,525.0,585.0,500.0,5570800,UFOE,2021-02-18,,,,480.7,467.7602499618961
60077,530.0,496.0,530.0,490.0,2104700,UFOE,2021-02-19,,,,499.7,474.0357499703636
83967,515.0,468.0,515.0,466.0,1827700,UFOE,2021-02-22,,,,508.3,472.6944721991717
22979,470.0,452.0,470.0,444.0,2121700,UFOE,2021-02-23,,,,505.9,468.0957005993558
43571,450.0,442.0,454.0,440.0,2162700,UFOE,2021-02-24,,,,495.6,462.29665602172116
50174,440.0,428.0,442.0,416.0,1097500,UFOE,2021-02-25,,,,483.4,454.67517690578313
89769,424.0,438.0,478.0,420.0,1726000,UFOE,2021-02-26,,,,475.7,450.96958203783134
46045,440.0,424.0,440.0,412.0,1101700,UFOE,2021-03-01,,,,470.1,444.97634158497993
