,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126596,159.0,159.0,159.0,159.0,0,NASA-W,2020-07-01,,,,,
134017,159.0,159.0,159.0,159.0,0,NASA-W,2020-07-02,,,,,
107691,6.0,6.0,6.0,6.0,30000,NASA-W,2020-07-03,,,,,
89550,8.0,8.0,8.0,8.0,100,NASA-W,2020-07-06,,,,,
34277,8.0,8.0,8.0,8.0,0,NASA-W,2020-07-07,,,,,
51624,8.0,1.0,8.0,1.0,500,NASA-W,2020-07-08,,,,,
120019,5.0,6.0,114.0,5.0,600,NASA-W,2020-07-09,,,,,
23573,6.0,6.0,6.0,6.0,0,NASA-W,2020-07-10,,,,,44.125
15337,6.0,6.0,6.0,6.0,0,NASA-W,2020-07-13,,,,,35.65277777777778
31815,4.0,104.0,104.0,4.0,200,NASA-W,2020-07-14,,,,46.3,50.84104938271605
95322,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-15,,,,40.8,62.65414951989026
21928,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-16,,,,35.3,71.84211629324798
110128,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-17,,,,45.1,78.9883126725262
82962,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-20,,,,54.7,84.54646541196483
108499,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-21,,,,64.3,88.86947309819487
99442,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-22,,,,74.6,92.23181240970712
8746,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-23,,,,84.4,94.84696520754999
106877,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-24,,,,94.2,96.88097293920555
59873,104.0,104.0,104.0,104.0,0,NASA-W,2020-07-27,,,,104.0,98.46297895271543
43362,84.0,84.0,84.0,84.0,200,NASA-W,2020-07-28,,,,102.0,95.24898362988978
116730,84.0,84.0,84.0,84.0,0,NASA-W,2020-07-29,,,,100.0,92.74920948991428
85416,80.0,79.0,80.0,1.0,300,NASA-W,2020-07-30,,,,97.5,89.69382960326666
123316,79.0,79.0,79.0,79.0,0,NASA-W,2020-08-03,,,,95.0,87.31742302476296
7109,79.0,79.0,79.0,79.0,0,NASA-W,2020-08-04,,,,92.5,85.46910679703785
58229,79.0,79.0,79.0,79.0,0,NASA-W,2020-08-05,,,,90.0,84.03152750880722
74718,79.0,79.0,79.0,79.0,0,NASA-W,2020-08-06,,,,87.5,82.91341028462783
