,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123784,50.0,50.0,50.0,50.0,100,CSIS,2020-07-01,,,,,
131205,50.0,50.0,50.0,50.0,20000,CSIS,2020-07-02,,,,,
104879,50.0,50.0,50.0,50.0,43900,CSIS,2020-07-03,,,,,
86738,50.0,50.0,50.0,50.0,100,CSIS,2020-07-06,,,,,
33967,50.0,50.0,50.0,50.0,100,CSIS,2020-07-07,,,,,
48812,50.0,50.0,50.0,50.0,48600,CSIS,2020-07-08,,,,,
117207,50.0,50.0,50.0,50.0,2800,CSIS,2020-07-09,,,,,
23263,50.0,50.0,50.0,50.0,10700,CSIS,2020-07-10,,,,,50.0
15027,50.0,50.0,50.0,50.0,3200,CSIS,2020-07-13,,,,,50.0
31505,50.0,50.0,50.0,50.0,35700,CSIS,2020-07-14,,,,50.0,50.0
92510,50.0,67.0,67.0,50.0,16128200,CSIS,2020-07-15,,,,51.7,53.77777777777778
21618,63.0,63.0,68.0,63.0,2563800,CSIS,2020-07-16,,,,53.0,55.82716049382716
107316,59.0,59.0,62.0,59.0,3997700,CSIS,2020-07-17,,,,53.9,56.53223593964334
80150,55.0,55.0,59.0,55.0,5106800,CSIS,2020-07-20,,,,54.4,56.191739064167045
105687,52.0,52.0,66.0,52.0,23405700,CSIS,2020-07-21,,,,54.6,55.260241494352144
96630,50.0,52.0,53.0,50.0,2824900,CSIS,2020-07-22,,,,54.8,54.535743384496115
8436,51.0,52.0,54.0,51.0,1671800,CSIS,2020-07-23,,,,55.0,53.97224485460809
104065,52.0,51.0,52.0,51.0,442600,CSIS,2020-07-24,,,,55.1,53.31174599802851
57061,52.0,51.0,52.0,50.0,1118500,CSIS,2020-07-27,,,,55.2,52.79802466513329
41384,51.0,51.0,51.0,50.0,1000100,CSIS,2020-07-28,,,,55.3,52.39846362843701
113918,50.0,51.0,56.0,50.0,5387600,CSIS,2020-07-29,,,,53.7,52.087693933228785
82604,52.0,51.0,53.0,50.0,817200,CSIS,2020-07-30,,,,52.5,51.84598417028906
120504,51.0,51.0,51.0,50.0,1147500,CSIS,2020-08-03,,,,51.7,51.6579876880026
6799,50.0,50.0,51.0,50.0,503200,CSIS,2020-08-04,,,,51.2,51.28954597955758
55417,50.0,50.0,51.0,50.0,394800,CSIS,2020-08-05,,,,51.0,51.00298020632256
71906,50.0,50.0,50.0,50.0,643500,CSIS,2020-08-06,,,,50.8,50.78009571602866
43855,50.0,50.0,50.0,50.0,176600,CSIS,2020-08-07,,,,50.6,50.606741112466736
101586,50.0,50.0,50.0,50.0,213000,CSIS,2020-08-10,,,,50.5,50.471909754140796
54601,50.0,50.0,50.0,50.0,113100,CSIS,2020-08-11,,,,50.4,50.36704091988729
122967,50.0,50.0,50.0,50.0,149800,CSIS,2020-08-12,,,51.86666666666667,50.3,50.28547627102345
64482,50.0,50.0,50.0,50.0,18400,CSIS,2020-08-13,,,51.86666666666667,50.2,50.222037099684904
90053,50.0,50.0,50.0,50.0,10700,CSIS,2020-08-14,,,51.86666666666667,50.1,50.17269552197715
62838,50.0,50.0,51.0,50.0,291800,CSIS,2020-08-18,,,51.86666666666667,50.0,50.13431873931556
91694,50.0,50.0,57.0,50.0,4222600,CSIS,2020-08-19,,,51.86666666666667,50.0,50.10447013057877
10084,50.0,50.0,50.0,50.0,142100,CSIS,2020-08-24,,,51.86666666666667,50.0,50.08125454600571
132013,50.0,50.0,50.0,50.0,320200,CSIS,2020-08-25,,,51.86666666666667,50.0,50.06319798022666
106500,50.0,50.0,50.0,50.0,6800,CSIS,2020-08-26,,,51.86666666666667,50.0,50.04915398462074
3504,50.0,50.0,50.0,50.0,102300,CSIS,2020-08-27,,,51.86666666666667,50.0,50.03823087692724
80962,50.0,50.0,50.0,50.0,2300,CSIS,2020-08-28,,,51.86666666666667,50.0,50.02973512649896
27383,50.0,50.0,50.0,50.0,102100,CSIS,2020-08-31,,,51.86666666666667,50.0,50.02312732061031
34778,50.0,50.0,50.0,50.0,8300,CSIS,2020-09-01,,,51.3,50.0,50.017987916030236
38916,50.0,50.0,50.0,50.0,10900,CSIS,2020-09-02,,,50.86666666666667,50.0,50.01399060135685
70253,50.0,50.0,50.0,50.0,100,CSIS,2020-09-03,,,50.56666666666667,50.0,50.01088157883311
12559,50.0,50.0,50.0,50.0,6500,CSIS,2020-09-04,,,50.4,50.0,50.00846345020353
26564,50.0,50.0,50.0,50.0,2000,CSIS,2020-09-07,,,50.333333333333336,50.0,50.00658268349164
110611,50.0,50.0,50.0,50.0,2200,CSIS,2020-09-08,,,50.266666666666666,50.0,50.00511986493794
124592,50.0,50.0,50.0,50.0,50100,CSIS,2020-09-09,,,50.2,50.0,50.003982117173955
7612,50.0,50.0,50.0,50.0,1000,CSIS,2020-09-10,,,50.166666666666664,50.0,50.00309720224641
17489,50.0,50.0,50.0,50.0,1100,CSIS,2020-09-11,,,50.13333333333333,50.0,50.00240893508054
44669,50.0,50.0,50.0,50.0,2400,CSIS,2020-09-14,,,50.1,50.0,50.001873616173754
67776,50.0,50.0,50.0,50.0,1100,CSIS,2020-09-15,,,50.06666666666667,50.0,50.00145725702403
1022,50.0,50.0,50.0,50.0,1000,CSIS,2020-09-16,,,50.03333333333333,50.0,50.0011334221298
57874,50.0,50.0,50.0,50.0,200,CSIS,2020-09-17,,,50.0,50.0,50.0008815505454
63654,50.0,50.0,50.0,50.0,55500,CSIS,2020-09-18,,,50.0,50.0,50.0006856504242
73546,50.0,50.0,50.0,50.0,6100,CSIS,2020-09-21,,,50.0,50.0,50.000533283663266
102402,50.0,50.0,50.0,50.0,28600,CSIS,2020-09-22,,,50.0,50.0,50.00041477618254
78499,50.0,50.0,50.0,50.0,100,CSIS,2020-09-23,,,50.0,50.0,50.000322603697526
66949,50.0,50.0,50.0,50.0,200,CSIS,2020-09-24,,,50.0,50.0,50.00025091398697
99104,50.0,50.0,50.0,50.0,5100,CSIS,2020-09-25,,,50.0,50.0,50.0001951553232
61186,50.0,50.0,50.0,50.0,50300,CSIS,2020-09-28,,,50.0,50.0,50.0001517874736
15838,50.0,50.0,50.0,50.0,1500,CSIS,2020-09-29,,,50.0,50.0,50.00011805692391
85911,50.0,50.0,50.0,50.0,300,CSIS,2020-09-30,,,50.0,50.0,50.00009182205193
94145,50.0,50.0,50.0,50.0,22200,CSIS,2020-10-01,,,50.0,50.0,50.0000714171515
69429,50.0,50.0,50.0,50.0,30100,CSIS,2020-10-02,,,50.0,50.0,50.000055546673394
11735,50.0,50.0,50.0,50.0,30700,CSIS,2020-10-05,,,50.0,50.0,50.00004320296819
122142,50.0,50.0,50.0,50.0,10300,CSIS,2020-10-06,,,50.0,50.0,50.0000336023086
20793,50.0,50.0,57.0,50.0,16593600,CSIS,2020-10-07,,,50.0,50.0,50.00002613512891
19137,50.0,51.0,55.0,50.0,8149200,CSIS,2020-10-08,,,50.03333333333333,50.1,50.22224254954471
112268,51.0,50.0,51.0,50.0,910500,CSIS,2020-10-09,,,50.03333333333333,50.1,50.17285531631255
28201,51.0,51.0,51.0,50.0,1041800,CSIS,2020-10-12,,,50.06666666666667,50.2,50.356665246020874
77674,52.0,51.0,52.0,50.0,546000,CSIS,2020-10-13,,,50.1,50.3,50.499628524682905
