,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
34425,110.0,110.0,110.0,110.0,6300,SOFA,2020-07-07,,,,,
49270,121.0,114.0,121.0,114.0,59449400,SOFA,2020-07-08,,,,,
117665,120.0,111.0,120.0,105.0,13704500,SOFA,2020-07-09,,,,,
23720,119.0,100.0,119.0,100.0,12979900,SOFA,2020-07-10,,,,,
15484,90.0,90.0,100.0,90.0,3754000,SOFA,2020-07-13,,,,,
31962,89.0,84.0,92.0,81.0,23129000,SOFA,2020-07-14,,,,,
92967,76.0,81.0,85.0,76.0,3305300,SOFA,2020-07-15,,,,,
22075,73.0,89.0,89.0,73.0,7690500,SOFA,2020-07-16,,,,,97.375
107773,93.0,86.0,96.0,83.0,11949900,SOFA,2020-07-17,,,,,94.84722222222223
80609,78.0,82.0,88.0,78.0,1889800,SOFA,2020-07-20,,,,94.7,91.99228395061729
106146,83.0,85.0,88.0,83.0,3215600,SOFA,2020-07-21,,,,92.2,90.43844307270234
97089,85.0,84.0,86.0,83.0,1036000,SOFA,2020-07-22,,,,89.2,89.00767794543515
8895,84.0,84.0,85.0,81.0,1079300,SOFA,2020-07-23,,,,86.5,87.89486062422733
104524,82.0,80.0,84.0,79.0,2485800,SOFA,2020-07-24,,,,84.5,86.14044715217682
57520,80.0,78.0,81.0,77.0,2113800,SOFA,2020-07-27,,,,83.3,84.33145889613752
41843,71.0,78.0,82.0,71.0,2340400,SOFA,2020-07-28,,,,82.7,82.92446803032918
114377,78.0,75.0,78.0,75.0,1013400,SOFA,2020-07-29,,,,82.1,81.16347513470048
83063,75.0,73.0,75.0,73.0,1449200,SOFA,2020-07-30,,,,80.5,79.34936954921149
120963,73.0,68.0,73.0,67.0,1935500,SOFA,2020-08-03,,,,78.7,76.82728742716449
7258,64.0,73.0,74.0,64.0,2289100,SOFA,2020-08-04,,,,77.8,75.97677911001682
55876,72.0,74.0,76.0,71.0,552600,SOFA,2020-08-05,,,,76.7,75.53749486334641
72365,74.0,74.0,78.0,70.0,1405100,SOFA,2020-08-06,,,,75.7,75.19582933815832
44313,74.0,74.0,75.0,72.0,600100,SOFA,2020-08-07,,,,74.7,74.93008948523425
102046,74.0,73.0,74.0,71.0,342100,SOFA,2020-08-10,,,,74.0,74.50118071073774
55061,72.0,75.0,78.0,69.0,3980100,SOFA,2020-08-11,,,,73.7,74.61202944168491
123427,75.0,74.0,75.0,73.0,236200,SOFA,2020-08-12,,,,73.3,74.47602289908826
64942,73.0,74.0,75.0,72.0,239800,SOFA,2020-08-13,,,,73.2,74.37024003262421
90513,73.0,72.0,74.0,72.0,263600,SOFA,2020-08-14,,,,73.1,73.84352002537439
63298,73.0,73.0,73.0,71.0,860900,SOFA,2020-08-18,,,,73.6,73.65607113084674
92154,73.0,73.0,73.0,71.0,450800,SOFA,2020-08-19,,,82.03333333333333,73.6,73.51027754621413
10544,73.0,72.0,73.0,70.0,653700,SOFA,2020-08-24,,,80.76666666666667,73.4,73.1746603137221
132473,72.0,73.0,74.0,70.0,1727100,SOFA,2020-08-25,,,79.4,73.3,73.13584691067274
106960,73.0,73.0,73.0,71.0,250300,SOFA,2020-08-26,,,78.13333333333334,73.2,73.10565870830102
