,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126780,660.0,660.0,660.0,660.0,1401100,WIFI,2020-12-30,,,,,
4886,660.0,825.0,825.0,815.0,29516100,WIFI,2021-01-04,,,,,
107011,900.0,840.0,970.0,820.0,25731300,WIFI,2021-01-05,,,,,
123473,850.0,800.0,860.0,790.0,17263500,WIFI,2021-01-06,,,,,
29592,800.0,795.0,800.0,770.0,13428100,WIFI,2021-01-07,,,,,
46880,795.0,815.0,815.0,785.0,8497600,WIFI,2021-01-08,,,,,
122643,815.0,825.0,825.0,780.0,6092100,WIFI,2021-01-11,,,,,
48521,825.0,825.0,835.0,800.0,6183000,WIFI,2021-01-12,,,,,798.125
49350,825.0,785.0,825.0,785.0,9203700,WIFI,2021-01-13,,,,,795.2083333333334
125127,785.0,735.0,790.0,735.0,6178300,WIFI,2021-01-14,,,,790.5,781.8287037037037
36162,715.0,695.0,715.0,685.0,1838800,WIFI,2021-01-15,,,,794.0,762.5334362139918
36992,745.0,650.0,745.0,650.0,175700,WIFI,2021-01-18,,,,776.5,737.5260059442159
105357,670.0,655.0,670.0,605.0,7742500,WIFI,2021-01-19,,,,758.0,719.1868935121679
50180,655.0,665.0,665.0,630.0,7475400,WIFI,2021-01-20,,,,744.5,707.145361620575
51010,665.0,665.0,680.0,650.0,10911800,WIFI,2021-01-21,,,,731.5,697.7797257048917
3240,665.0,655.0,680.0,635.0,11421500,WIFI,2021-01-22,,,,715.5,688.2731199926935
97160,645.0,640.0,660.0,620.0,7903200,WIFI,2021-01-25,,,,697.0,677.5457599943172
45227,635.0,630.0,660.0,625.0,7802100,WIFI,2021-01-26,,,,677.5,666.9800355511356
20529,630.0,630.0,640.0,625.0,12722200,WIFI,2021-01-27,,,,662.0,658.7622498731055
25465,625.0,635.0,635.0,620.0,9117500,WIFI,2021-01-28,,,,652.0,653.4817499013043
54295,635.0,635.0,650.0,625.0,7680900,WIFI,2021-01-29,,,,646.0,649.3746943676811
93030,635.0,640.0,640.0,625.0,7902300,WIFI,2021-02-01,,,,645.0,647.2914289526408
26299,640.0,635.0,650.0,630.0,7743700,WIFI,2021-02-02,,,,643.0,644.5600002964984
9819,635.0,655.0,655.0,635.0,8023100,WIFI,2021-02-03,,,,642.0,646.8800002306099
115253,655.0,655.0,660.0,640.0,7946700,WIFI,2021-02-04,,,,641.0,648.6844446238077
11470,655.0,660.0,665.0,640.0,7992500,WIFI,2021-02-05,,,,641.5,651.1990124851837
37827,660.0,675.0,675.0,660.0,9057100,WIFI,2021-02-08,,,,645.0,656.4881208218096
86452,675.0,675.0,690.0,670.0,8346100,WIFI,2021-02-09,,,,649.5,660.6018717502964
85616,675.0,685.0,690.0,675.0,7375000,WIFI,2021-02-10,,,,655.0,666.0236780280082
82319,685.0,690.0,695.0,660.0,7728400,WIFI,2021-02-11,,,701.0,660.5,671.3517495773398
108667,690.0,695.0,700.0,680.0,7880200,WIFI,2021-02-15,,,702.1666666666666,666.5,676.6069163379309
100464,695.0,700.0,700.0,685.0,7396400,WIFI,2021-02-16,,,698.0,672.5,681.8053793739463
94677,700.0,705.0,715.0,700.0,7535300,WIFI,2021-02-17,,,693.5,679.5,686.9597395130693
69139,705.0,740.0,740.0,705.0,11200500,WIFI,2021-02-18,,,691.5,688.0,698.7464640657206
57594,725.0,760.0,760.0,715.0,11441500,WIFI,2021-02-19,,,690.3333333333334,698.5,712.3583609400049
81484,760.0,760.0,775.0,720.0,8550900,WIFI,2021-02-22,,,688.5,708.5,722.9453918422261
22998,760.0,760.0,765.0,740.0,7430700,WIFI,2021-02-23,,,686.3333333333334,717.0,731.1797492106202
