,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121534,470.0,540.0,540.0,468.0,20416000,MARK,2020-07-01,,,,,
128955,545.0,540.0,560.0,510.0,12259300,MARK,2020-07-02,,,,,
102629,540.0,650.0,675.0,535.0,40927300,MARK,2020-07-03,,,,,
85322,650.0,700.0,705.0,625.0,23858900,MARK,2020-07-06,,,,,
34219,700.0,665.0,720.0,665.0,14186100,MARK,2020-07-07,,,,,
48230,665.0,680.0,685.0,655.0,7859200,MARK,2020-07-08,,,,,
114957,680.0,720.0,730.0,675.0,10380700,MARK,2020-07-09,,,,,
23515,720.0,805.0,805.0,710.0,27802600,MARK,2020-07-10,,,,,662.5
15279,830.0,780.0,830.0,775.0,9115400,MARK,2020-07-13,,,,,688.6111111111111
31757,780.0,795.0,815.0,745.0,14264600,MARK,2020-07-14,,,,687.5,712.2530864197531
90260,795.0,780.0,800.0,765.0,7670500,MARK,2020-07-15,,,,711.5,727.3079561042524
21870,780.0,780.0,790.0,765.0,5119500,MARK,2020-07-16,,,,735.5,739.0172991921963
105066,775.0,790.0,790.0,770.0,5681500,MARK,2020-07-17,,,,749.5,750.3467882605971
78734,790.0,765.0,790.0,765.0,5562100,MARK,2020-07-20,,,,756.0,753.60305753602
103437,765.0,790.0,790.0,740.0,9633900,MARK,2020-07-21,,,,768.5,761.69126697246
94380,790.0,775.0,790.0,775.0,3429300,MARK,2020-07-22,,,,778.0,764.6487632008023
8688,775.0,780.0,790.0,765.0,7400800,MARK,2020-07-23,,,,784.0,768.0601491561795
101815,780.0,890.0,905.0,770.0,29450500,MARK,2020-07-24,,,,792.5,795.1578937881396
55645,890.0,905.0,930.0,865.0,14318900,MARK,2020-07-27,,,,805.0,819.5672507241086
41636,905.0,905.0,920.0,895.0,9915100,MARK,2020-07-28,,,,816.0,838.5523061187512
111668,905.0,940.0,950.0,895.0,24316000,MARK,2020-07-29,,,,832.0,861.096238092362
81188,945.0,925.0,945.0,895.0,14688300,MARK,2020-07-30,,,,846.5,875.2970740718371
118254,925.0,895.0,930.0,865.0,10441600,MARK,2020-08-03,,,,857.0,879.6755020558733
7051,895.0,890.0,910.0,890.0,3160100,MARK,2020-08-04,,,,869.5,881.9698349323459
54001,890.0,895.0,900.0,870.0,3693300,MARK,2020-08-05,,,,880.0,884.8654271696023
70490,895.0,875.0,900.0,860.0,3720500,MARK,2020-08-06,,,,890.0,882.6731100208018
44107,875.0,890.0,900.0,875.0,6113400,MARK,2020-08-07,,,,901.0,884.301307793957
99336,890.0,935.0,960.0,890.0,22455100,MARK,2020-08-10,,,,905.5,895.5676838397443
53185,940.0,910.0,955.0,900.0,9635700,MARK,2020-08-11,,,,906.0,898.77486520869
120717,910.0,885.0,910.0,865.0,6773900,MARK,2020-08-12,,,802.5,904.0,895.7137840512033
63066,885.0,835.0,885.0,825.0,10676300,MARK,2020-08-13,,,812.3333333333334,893.5,882.2218320398248
87803,835.0,835.0,850.0,830.0,2733000,MARK,2020-08-14,,,822.1666666666666,884.5,871.7280915865304
61422,835.0,870.0,880.0,830.0,9671800,MARK,2020-08-18,,,829.5,882.0,871.3440712339681
89444,875.0,905.0,905.0,870.0,13709200,MARK,2020-08-19,,,836.3333333333334,883.5,878.8231665153085
10336,905.0,910.0,910.0,880.0,11396800,MARK,2020-08-24,,,844.5,885.0,885.7513517341288
129763,910.0,935.0,945.0,900.0,12065300,MARK,2020-08-25,,,853.0,891.0,896.6954957932113
104250,935.0,930.0,945.0,900.0,6786400,MARK,2020-08-26,,,860.0,895.0,904.0964967280532
3756,930.0,910.0,940.0,910.0,3339400,MARK,2020-08-27,,,863.5,892.5,905.4083863440414
79546,910.0,900.0,915.0,895.0,2887700,MARK,2020-08-28,,,867.5,891.5,904.2065227120322
27635,900.0,870.0,900.0,870.0,3144100,MARK,2020-08-31,,,870.0,890.0,896.6050732204695
35030,870.0,865.0,880.0,850.0,4419700,MARK,2020-09-01,,,872.8333333333334,893.0,889.5817236159207
39168,865.0,850.0,865.0,835.0,2870900,MARK,2020-09-02,,,875.1666666666666,894.5,880.785785034605
68837,850.0,850.0,865.0,825.0,6089500,MARK,2020-09-03,,,877.1666666666666,892.5,873.9444994713594
12811,850.0,850.0,865.0,830.0,3626000,MARK,2020-09-04,,,880.0,887.0,868.6234995888351
26817,855.0,840.0,895.0,800.0,12807100,MARK,2020-09-07,,,881.6666666666666,880.0,862.2627219024273
108362,840.0,835.0,850.0,810.0,3746700,MARK,2020-09-08,,,883.6666666666666,870.0,856.2043392574435
122343,835.0,790.0,835.0,780.0,3408000,MARK,2020-09-09,,,884.0,856.0,841.4922638669005
7866,785.0,735.0,790.0,735.0,1789500,MARK,2020-09-10,,,878.8333333333334,838.5,817.8273163409226
