,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121390,520.0,520.0,520.0,520.0,6900,HITS,2020-07-01,,,,,
128811,520.0,520.0,520.0,520.0,8400,HITS,2020-07-02,,,,,
102485,520.0,525.0,525.0,520.0,19300,HITS,2020-07-03,,,,,
85178,525.0,625.0,630.0,525.0,210100,HITS,2020-07-06,,,,,
34075,625.0,620.0,625.0,615.0,1800,HITS,2020-07-07,,,,,
48086,620.0,630.0,630.0,620.0,9200,HITS,2020-07-08,,,,,
114813,630.0,630.0,630.0,630.0,0,HITS,2020-07-09,,,,,
23371,630.0,630.0,630.0,630.0,1000,HITS,2020-07-10,,,,,587.5
15135,630.0,635.0,635.0,630.0,4500,HITS,2020-07-13,,,,,598.0555555555555
31613,635.0,600.0,635.0,600.0,3400,HITS,2020-07-14,,,,593.5,598.4876543209876
90116,600.0,610.0,620.0,560.0,16500,HITS,2020-07-15,,,,602.5,601.0459533607682
21726,610.0,610.0,610.0,610.0,500,HITS,2020-07-16,,,,611.5,603.0357415028197
104922,610.0,570.0,610.0,570.0,3600,HITS,2020-07-17,,,,616.0,595.6944656133043
78590,540.0,535.0,540.0,535.0,1400,HITS,2020-07-20,,,,607.0,582.2068065881256
103293,500.0,498.0,500.0,498.0,4700,HITS,2020-07-21,,,,594.8,563.4941829018754
94236,498.0,498.0,498.0,498.0,5200,HITS,2020-07-22,,,,581.6,548.939920034792
8544,498.0,510.0,510.0,496.0,3300,HITS,2020-07-23,,,,569.6,540.2866044715048
101671,510.0,505.0,510.0,505.0,700,HITS,2020-07-24,,,,557.1,532.4451368111704
55501,505.0,505.0,505.0,505.0,1000,HITS,2020-07-27,,,,544.1,526.3462175197992
41492,505.0,505.0,505.0,505.0,5200,HITS,2020-07-28,,,,534.6,521.6026136265104
111524,500.0,515.0,520.0,500.0,1400,HITS,2020-07-29,,,,525.1,520.1353661539525
81044,515.0,515.0,515.0,515.0,0,HITS,2020-07-30,,,,515.6,518.9941736752965
118110,500.0,500.0,500.0,500.0,1800,HITS,2020-08-03,,,,508.6,514.7732461918972
6907,500.0,500.0,500.0,500.0,300,HITS,2020-08-04,,,,505.1,511.49030259369783
53857,520.0,550.0,550.0,490.0,23600,HITS,2020-08-05,,,,510.3,520.0480131284316
70346,550.0,550.0,550.0,550.0,0,HITS,2020-08-06,,,,515.5,526.7040102110024
43963,550.0,550.0,550.0,550.0,0,HITS,2020-08-07,,,,519.5,531.8808968307796
99192,515.0,520.0,570.0,515.0,14500,HITS,2020-08-10,,,,521.0,529.2406975350508
53041,520.0,560.0,560.0,486.0,12900,HITS,2020-08-11,,,,526.5,536.0760980828173
120573,560.0,585.0,585.0,535.0,18800,HITS,2020-08-12,,,554.2,534.5,546.9480762866357
62922,585.0,600.0,600.0,585.0,11600,HITS,2020-08-13,,,556.8666666666667,543.0,558.7373926673833
87659,600.0,600.0,600.0,600.0,2300,HITS,2020-08-14,,,559.5333333333333,551.5,567.9068609635203
61278,600.0,600.0,600.0,600.0,0,HITS,2020-08-18,,,562.0333333333333,561.5,575.0386696382936
