,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121037,364.0,364.0,364.0,364.0,200,XPDV,2020-07-01,,,,,
128458,369.0,369.0,369.0,369.0,700,XPDV,2020-07-02,,,,,
102132,372.0,372.0,372.0,372.0,100,XPDV,2020-07-03,,,,,
84826,372.0,372.0,372.0,372.0,0,XPDV,2020-07-06,,,,,
34560,372.0,372.0,372.0,372.0,0,XPDV,2020-07-07,,,,,
47737,372.0,372.0,372.0,372.0,0,XPDV,2020-07-08,,,,,
114464,372.0,372.0,372.0,372.0,0,XPDV,2020-07-09,,,,,
23855,372.0,372.0,372.0,372.0,0,XPDV,2020-07-10,,,,,370.625
15619,372.0,372.0,372.0,372.0,0,XPDV,2020-07-13,,,,,370.93055555555554
32097,372.0,382.0,382.0,372.0,1000,XPDV,2020-07-14,,,,371.9,373.3904320987654
89766,383.0,383.0,383.0,383.0,100,XPDV,2020-07-15,,,,373.8,375.5258916323731
22210,383.0,383.0,383.0,383.0,0,XPDV,2020-07-16,,,,375.2,377.18680460295684
104572,383.0,383.0,383.0,383.0,0,XPDV,2020-07-17,,,,376.3,378.47862580229975
78242,383.0,383.0,383.0,383.0,0,XPDV,2020-07-20,,,,377.4,379.48337562401093
102945,383.0,383.0,383.0,383.0,0,XPDV,2020-07-21,,,,378.5,380.26484770756406
93888,383.0,383.0,383.0,383.0,0,XPDV,2020-07-22,,,,379.6,380.8726593281054
9030,383.0,383.0,383.0,383.0,0,XPDV,2020-07-23,,,,380.7,381.34540169963753
101323,387.0,387.0,387.0,387.0,3000,XPDV,2020-07-24,,,,382.2,382.6019790997181
55153,387.0,387.0,387.0,387.0,0,XPDV,2020-07-27,,,,383.7,383.5793170775585
41978,387.0,387.0,387.0,387.0,0,XPDV,2020-07-28,,,,384.2,384.3394688381011
111176,387.0,387.0,387.0,387.0,0,XPDV,2020-07-29,,,,384.6,384.93069798518974
80696,387.0,387.0,387.0,387.0,0,XPDV,2020-07-30,,,,385.0,385.3905428773698
117762,387.0,387.0,387.0,387.0,0,XPDV,2020-08-03,,,,385.4,385.74820001573204
7393,387.0,387.0,387.0,387.0,0,XPDV,2020-08-04,,,,385.8,386.0263777900138
53509,387.0,387.0,387.0,387.0,0,XPDV,2020-08-05,,,,386.2,386.24273828112183
70000,387.0,387.0,387.0,387.0,0,XPDV,2020-08-06,,,,386.6,386.41101866309475
43616,396.0,394.0,396.0,394.0,1000,XPDV,2020-08-07,,,,387.7,388.0974589601848
98847,394.0,394.0,394.0,394.0,2000,XPDV,2020-08-10,,,,388.4,389.40913474681037
52696,394.0,394.0,394.0,394.0,0,XPDV,2020-08-11,,,,389.1,390.42932702529697
120228,394.0,394.0,394.0,394.0,0,XPDV,2020-08-12,,,381.96666666666664,389.8,391.22280990856433
62577,404.0,404.0,404.0,404.0,800,XPDV,2020-08-13,,,383.3,391.5,394.06218548443894
87314,403.0,403.0,403.0,403.0,100,XPDV,2020-08-14,,,384.43333333333334,393.1,396.04836648789694
60933,410.0,410.0,410.0,410.0,5000,XPDV,2020-08-18,,,385.7,395.4,399.1487294905865
88955,410.0,410.0,410.0,410.0,0,XPDV,2020-08-19,,,386.96666666666664,397.7,401.56012293712286
10681,415.0,415.0,415.0,415.0,500,XPDV,2020-08-24,,,388.4,400.5,404.5467622844289
129274,415.0,415.0,415.0,415.0,0,XPDV,2020-08-25,,,389.8333333333333,403.3,406.86970399900025
103761,415.0,415.0,415.0,415.0,0,XPDV,2020-08-26,,,391.26666666666665,405.4,408.6764364436669
4102,415.0,415.0,415.0,415.0,0,XPDV,2020-08-27,,,392.7,407.5,410.0816727895187
79058,415.0,415.0,415.0,415.0,500,XPDV,2020-08-28,,,394.1333333333333,409.6,411.17463439184786
27982,415.0,415.0,415.0,415.0,0,XPDV,2020-08-31,,,395.23333333333335,411.7,412.0247156381039
35377,415.0,415.0,415.0,415.0,0,XPDV,2020-09-01,,,396.3,412.8,412.6858899407475
39515,415.0,415.0,415.0,415.0,0,XPDV,2020-09-02,,,397.3666666666667,414.0,413.20013662058136
68350,415.0,415.0,415.0,415.0,0,XPDV,2020-09-03,,,398.43333333333334,414.5,413.60010626045215
