,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
98864,974.0,964.0,974.0,951.0,18700,XDSG,2020-12-23,,,,,
66709,960.0,976.0,976.0,960.0,7200,XDSG,2020-12-28,,,,,
62598,974.0,971.0,974.0,971.0,2200,XDSG,2020-12-29,,,,,
130140,959.0,959.0,959.0,959.0,100,XDSG,2020-12-30,,,,,
4910,959.0,959.0,959.0,959.0,0,XDSG,2021-01-04,,,,,
110371,1000.0,982.0,1000.0,982.0,900,XDSG,2021-01-05,,,,,
126833,976.0,976.0,976.0,976.0,1000,XDSG,2021-01-06,,,,,
29616,976.0,976.0,976.0,976.0,0,XDSG,2021-01-07,,,,,970.375
48572,994.0,994.0,994.0,994.0,5000,XDSG,2021-01-08,,,,,975.625
126003,1022.0,1022.0,1022.0,1022.0,100,XDSG,2021-01-11,,,,977.9,985.9305555555555
51047,1022.0,1022.0,1022.0,1022.0,0,XDSG,2021-01-12,,,,983.7,993.945987654321
51876,1019.0,1019.0,1019.0,1019.0,1000,XDSG,2021-01-13,,,,988.0,999.5135459533608
128487,1010.0,1010.0,1010.0,1010.0,100,XDSG,2021-01-14,,,,991.9,1001.8438690748362
36186,1002.0,996.0,1002.0,996.0,1100,XDSG,2021-01-15,,,,995.6,1000.5452315026504
37016,1009.0,1009.0,1009.0,1009.0,100,XDSG,2021-01-18,,,,1000.6,1002.4240689465058
108717,998.0,1005.0,1005.0,998.0,1100,XDSG,2021-01-19,,,,1002.9,1002.9964980695046
52706,1026.0,1026.0,1026.0,1026.0,100,XDSG,2021-01-20,,,,1007.9,1008.1083873873924
53536,1034.0,1031.0,1034.0,1031.0,200,XDSG,2021-01-21,,,,1013.4,1013.1954124124163
3264,1031.0,1031.0,1031.0,1031.0,0,XDSG,2021-01-22,,,,1017.1,1017.1519874318793
100520,1008.0,1008.0,1008.0,1008.0,100,XDSG,2021-01-25,,,,1015.7,1015.1182124470173
46919,996.0,996.0,996.0,996.0,1000,XDSG,2021-01-26,,,,1013.1,1010.8697207921246
20553,979.0,988.0,988.0,969.0,700,XDSG,2021-01-27,,,,1010.0,1005.7875606160969
25489,988.0,988.0,988.0,988.0,0,XDSG,2021-01-28,,,,1007.8,1001.8347693680754
56821,967.0,967.0,967.0,967.0,100,XDSG,2021-01-29,,,,1004.9,994.0937095085031
96390,967.0,967.0,967.0,967.0,0,XDSG,2021-02-01,,,,1000.7,988.0728851732803
26324,960.0,960.0,960.0,960.0,100,XDSG,2021-02-02,,,,996.2,981.8344662458846
9844,963.0,974.0,974.0,963.0,600,XDSG,2021-02-03,,,,991.0,980.0934737467992
118614,983.0,970.0,983.0,970.0,200,XDSG,2021-02-04,,,,984.9,977.8504795808439
11495,970.0,970.0,970.0,970.0,0,XDSG,2021-02-05,,,,978.8,976.1059285628786
37852,970.0,970.0,970.0,970.0,0,XDSG,2021-02-08,,,989.5333333333333,975.0,974.7490555489056
88979,976.0,976.0,976.0,976.0,100,XDSG,2021-02-09,,,989.9333333333333,973.0,975.0270432047043
88143,966.0,976.0,976.0,966.0,500,XDSG,2021-02-10,,,989.9333333333333,971.8,975.2432558258812
84846,976.0,976.0,976.0,976.0,0,XDSG,2021-02-11,,,990.1,970.6,975.4114211979075
112028,982.0,982.0,982.0,982.0,100,XDSG,2021-02-15,,,990.8666666666667,972.1,976.8755498205948
103825,971.0,971.0,971.0,971.0,100,XDSG,2021-02-16,,,991.2666666666667,972.5,975.5698720826848
98038,971.0,971.0,971.0,971.0,0,XDSG,2021-02-17,,,990.9,973.6,974.5543449531993
71666,971.0,971.0,971.0,971.0,0,XDSG,2021-02-18,,,990.7333333333333,973.3,973.7644905191551
60121,971.0,971.0,971.0,971.0,0,XDSG,2021-02-19,,,990.5666666666667,973.4,973.1501592926761
84011,980.0,979.0,980.0,979.0,300,XDSG,2021-02-22,,,990.0666666666667,974.3,974.4501238943036
23023,984.0,984.0,984.0,984.0,300,XDSG,2021-02-23,,,988.8,975.7,976.5723185844583
43615,979.0,979.0,979.0,979.0,100,XDSG,2021-02-24,,,987.3666666666667,976.0,977.1118033434676
50218,973.0,973.0,973.0,973.0,100,XDSG,2021-02-25,,,985.8333333333334,975.7,976.1980692671415
89813,978.0,969.0,978.0,969.0,200,XDSG,2021-02-26,,,984.4666666666667,975.0,974.5984983188878
46089,994.0,994.0,994.0,994.0,100,XDSG,2021-03-01,,,984.4,976.2,978.9099431369127
